Table 1. Illicit Drug Use in the Past Month: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023																
NOTE: Illicit drug use includes the misuse of prescription psychotherapeutics or the use of marijuana (including vaping), cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one’s own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.																
NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.																
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.																
Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.																
Order	State	12+ Estimate	12+ 95% CI (Lower)	12+ 95% CI (Upper)	12-17 Estimate	12-17 95% CI (Lower)	12-17 95% CI (Upper)	18-25 Estimate	18-25 95% CI (Lower)	18-25 95% CI (Upper)	26+ Estimate	26+ 95% CI (Lower)	26+ 95% CI (Upper)	18+ Estimate	18+ 95% CI (Lower)	18+ 95% CI (Upper)
32	Montana	23.39%	20.59%	26.43%	8.53%	6.51%	11.09%	35.64%	30.39%	41.27%	23.16%	20.05%	26.59%	24.81%	21.81%	28.07%
33	Nebraska	12.56%	10.80%	14.57%	6.17%	4.67%	8.10%	19.19%	15.62%	23.36%	12.27%	10.32%	14.53%	13.29%	11.38%	15.46%
34	Nevada	22.03%	19.54%	24.74%	8.54%	6.61%	10.97%	31.91%	27.43%	36.75%	22.22%	19.41%	25.31%	23.37%	20.69%	26.28%
35	New Hampshire	18.60%	16.36%	21.07%	7.67%	5.91%	9.90%	32.79%	27.96%	38.01%	17.68%	15.26%	20.40%	19.50%	17.12%	22.13%
36	New Jersey	14.16%	12.43%	16.09%	6.57%	5.22%	8.25%	27.22%	23.35%	31.46%	13.18%	11.27%	15.35%	14.91%	13.05%	16.99%
37	New Mexico	25.90%	23.23%	28.76%	11.27%	8.66%	14.55%	38.32%	33.04%	43.89%	25.71%	22.61%	29.06%	27.42%	24.55%	30.50%
38	New York	17.71%	16.34%	19.16%	6.81%	5.55%	8.32%	28.19%	25.28%	31.29%	17.25%	15.71%	18.91%	18.67%	17.22%	20.22%
39	North Carolina	13.22%	11.50%	15.15%	6.26%	4.79%	8.14%	21.66%	18.19%	25.57%	12.71%	10.83%	14.86%	13.91%	12.07%	15.98%
40	North Dakota	14.14%	11.83%	16.82%	6.18%	4.51%	8.41%	20.96%	17.00%	25.56%	13.81%	11.27%	16.83%	14.98%	12.50%	17.85%
41	Ohio	17.51%	16.07%	19.04%	7.89%	6.55%	9.48%	28.11%	25.27%	31.14%	17.01%	15.37%	18.79%	18.47%	16.94%	20.11%
42	Oklahoma	21.13%	18.73%	23.76%	6.81%	5.22%	8.84%	33.84%	29.14%	38.88%	20.84%	18.05%	23.93%	22.75%	20.11%	25.62%
43	Oregon	24.25%	21.56%	27.15%	8.28%	6.42%	10.62%	34.79%	29.99%	39.92%	24.41%	21.40%	27.68%	25.69%	22.80%	28.80%
44	Pennsylvania	16.30%	14.81%	17.91%	7.39%	6.03%	9.03%	24.83%	22.06%	27.82%	15.97%	14.29%	17.81%	17.12%	15.52%	18.85%
45	Rhode Island	20.53%	17.93%	23.40%	7.38%	5.67%	9.56%	34.54%	29.53%	39.91%	19.53%	16.69%	22.71%	21.62%	18.85%	24.66%
46	South Carolina	13.96%	11.87%	16.34%	7.39%	5.59%	9.70%	24.84%	20.51%	29.74%	13.08%	10.85%	15.70%	14.60%	12.39%	17.13%
47	South Dakota	13.30%	11.17%	15.77%	5.49%	4.00%	7.49%	19.98%	16.22%	24.37%	13.21%	10.82%	16.03%	14.17%	11.87%	16.84%
48	Tennessee	13.92%	11.94%	16.17%	6.76%	5.13%	8.86%	22.00%	18.37%	26.11%	13.52%	11.37%	16.00%	14.63%	12.52%	17.04%
49	Texas	11.66%	10.62%	12.78%	6.07%	4.95%	7.41%	19.39%	17.10%	21.90%	11.09%	9.90%	12.40%	12.32%	11.19%	13.54%
50	Utah	11.02%	9.50%	12.74%	4.52%	3.33%	6.11%	17.63%	14.42%	21.38%	10.61%	8.91%	12.59%	11.91%	10.25%	13.81%
51	Vermont	27.15%	24.26%	30.26%	10.31%	7.94%	13.29%	43.34%	37.68%	49.18%	26.18%	22.89%	29.77%	28.51%	25.41%	31.82%
52	Virginia	15.10%	13.63%	16.70%	7.92%	6.56%	9.52%	26.08%	22.87%	29.56%	14.24%	12.59%	16.05%	15.81%	14.23%	17.54%
53	Washington	22.64%	20.12%	25.38%	8.34%	6.52%	10.61%	31.65%	27.39%	36.25%	22.92%	20.06%	26.05%	24.00%	21.29%	26.93%
54	West Virginia	15.34%	13.09%	17.88%	6.91%	5.17%	9.18%	23.15%	19.03%	27.85%	15.08%	12.63%	17.91%	16.11%	13.72%	18.81%
55	Wisconsin	16.01%	13.92%	18.33%	7.07%	5.41%	9.18%	27.01%	23.16%	31.22%	15.30%	12.98%	17.94%	16.89%	14.66%	19.38%
56	Wyoming	12.00%	9.83%	14.58%	5.85%	4.20%	8.10%	20.52%	16.33%	25.44%	11.46%	9.11%	14.31%	12.67%	10.34%	15.43%
